"113年11月14日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","25,698.34","-","182.28","-0.70","",
"發行量加權股價指數","22,715.38","-","144.85","-0.63","",
"臺灣公司治理100指數","13,567.46","-","59.37","-0.44","",
"臺灣50指數","19,019.15","-","88.06","-0.46","",
"臺灣50權重上限30%指數","16,354.20","-","122.00","-0.74","",
"臺灣中型100指數","19,294.24","-","190.36","-0.98","",
"臺灣資訊科技指數","38,052.37","-","168.13","-0.44","",
"臺灣發達指數","9,952.56","-","95.11","-0.95","",
"臺灣高股息指數","9,348.64","-","109.93","-1.16","",
"臺灣就業99指數","13,251.05","-","114.01","-0.85","",
"臺灣高薪100指數","11,871.89","-","95.74","-0.80","",
"未含金融指數","19,866.13","-","128.80","-0.64","",
"未含電子指數","19,393.32","-","152.01","-0.78","",
"未含金融電子指數","14,792.01","-","135.17","-0.91","",
"小型股300指數","11,198.74","-","120.60","-1.07","",
"水泥窯製類指數","607.15","-","3.39","-0.56","",
"塑膠化工類指數","646.98","-","10.59","-1.61","",
"機電類指數","6,949.55","-","40.37","-0.58","",
"水泥類指數","159.26","-","0.63","-0.39","",
"食品類指數","2,251.07","-","22.87","-1.01","",
"塑膠類指數","131.06","-","3.35","-2.49","",
"紡織纖維類指數","626.16","-","6.46","-1.02","",
"電機機械類指數","397.84","-","2.99","-0.75","",
"電器電纜類指數","96.74","-","0.72","-0.74","",
"化學生技醫療類指數","134.76","-","1.36","-1.00","",
"化學類指數","164.13","-","1.86","-1.12","",
"生技醫療類指數","74.39","-","0.69","-0.92","",
"玻璃陶瓷類指數","49.11","-","0.82","-1.64","",
"造紙類指數","298.28","-","2.53","-0.84","",
"鋼鐵類指數","129.06","-","1.73","-1.32","",
"橡膠類指數","264.85","-","2.90","-1.08","",
"汽車類指數","375.63","-","0.15","-0.04","",
"電子工業類指數","1,247.05","-","7.19","-0.57","",
"半導體類指數","628.19","-","2.20","-0.35","",
"電腦及週邊設備類指數","282.21","-","1.11","-0.39","",
"光電類指數","38.68","-","0.57","-1.45","",
"通信網路類指數","160.35","-","1.74","-1.07","",
"電子零組件類指數","227.45","-","2.63","-1.14","",
"電子通路類指數","255.79","-","0.72","-0.28","",
"資訊服務類指數","198.80","-","1.25","-0.62","",
"其他電子類指數","187.46","-","2.86","-1.50","",
"建材營造類指數","536.79","-","4.53","-0.84","",
"航運類指數","199.49","+","0.04","0.02","",
"觀光餐旅類指數","117.17","-","1.73","-1.46","",
"金融保險類指數","2,056.10","-","11.24","-0.54","",
"貿易百貨類指數","292.09","-","2.54","-0.86","",
"油電燃氣類指數","63.03","-","0.90","-1.41","",
"綠能環保類指數","111.93","-","1.72","-1.51","",
"數位雲端類指數","64.48","-","0.36","-0.56","",
"運動休閒類指數","96.48","-","0.26","-0.27","",
"居家生活類指數","121.15","-","2.61","-2.11","",
"其他類指數","330.50","-","5.03","-1.50","",
"臺指日報酬兩倍指數","61,148.67","-","784.86","-1.27","",
"臺指反向一倍指數","2,851.44","+","17.95","0.63","",
"電子類兩倍槓桿指數","78,297.72","-","908.10","-1.15","",
"電子類反向指數","2,109.91","+","12.03","0.57","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,045.31","-","55.24","-1.35","",
"臺灣中小型公司治理指數","10,036.23","-","113.74","-1.12","",
"臺灣IPO指數","5,340.96","-","112.50","-2.06","",
"智慧中立指數","3,728.16","-","21.80","-0.58","",
"臺灣5G指數","11,057.17","-","127.94","-1.14","",
"臺灣企業社會責任中小型指數","11,754.90","-","75.92","-0.64","",
"特選臺灣電動車代表指數","10,275.61","-","129.56","-1.25","",
"臺灣5G+通訊指數","10,187.54","-","109.13","-1.06","",
"臺灣全市場指數","7,865.58","-","57.87","-0.73","",
"臺灣全市場半導體指數","7,530.96","-","88.19","-1.16","",
"臺灣智慧移動與電動車指數","5,767.72","-","59.00","-1.01","",
"特選小資高價30指數","8,051.60","-","45.81","-0.57","",
"特選臺灣綠能及電動車指數","6,159.32","-","73.44","-1.18","",
